iter	Passed	Remaining
0	185	185057
1	373	186306
2	484	160942
3	604	150510
4	703	140077
5	803	133142
6	905	128468
7	1013	125632
8	1130	124446
9	1234	122189
10	1338	120312
11	1458	120113
12	1563	118726
13	1664	117222
14	1769	116165
15	1882	115771
16	1981	114605
17	2086	113829
18	2178	112494
19	2276	111558
20	2375	110750
21	2487	110600
22	2589	109977
23	2691	109453
24	2794	108985
25	2905	108842
26	3010	108492
27	3108	107925
28	3220	107846
29	3332	107751
30	3438	107471
31	3536	106993
32	3641	106717
33	3749	106540
34	3849	106135
35	3960	106058
36	4076	106089
37	4185	105962
38	4284	105565
39	4381	105165
40	4490	105038
41	4585	104602
42	4691	104423
43	4797	104231
44	4908	104179
45	5016	104031
46	5116	103738
47	5216	103467
48	5306	102996
49	5400	102618
50	5514	102604
51	5611	102305
52	5713	102085
53	5814	101860
54	5909	101535
55	6010	101317
56	6117	101210
57	6211	100880
58	6314	100713
59	6424	100649
60	6537	100637
61	6633	100351
62	6734	100168
63	6831	99911
64	6939	99816
65	7045	99697
66	7154	99633
67	7254	99434
68	7356	99256
69	7464	99174
70	7560	98931
71	7657	98702
72	7768	98655
73	7865	98424
74	7963	98214
75	8066	98068
76	8170	97937
77	8265	97708
78	8361	97477
79	8454	97225
80	8564	97167
81	8656	96915
82	8748	96658
83	8854	96551
84	8946	96304
85	9046	96141
86	9142	95943
87	9247	95841
88	9347	95683
89	9446	95516
90	9552	95423
91	9652	95263
92	9760	95192
93	9856	95001
94	9968	94964
95	10061	94742
96	10153	94526
97	10258	94424
98	10359	94278
99	10458	94123
100	10557	93970
101	10724	94421
102	10836	94372
103	10947	94313
104	11034	94056
105	11124	93825
106	11227	93698
107	11336	93627
108	11441	93527
109	11538	93356
110	11636	93193
111	11728	92988
112	11828	92850
113	11926	92688
114	12030	92580
115	12127	92418
116	12223	92248
117	12324	92121
118	12417	91927
119	12501	91680
120	12592	91479
121	12689	91322
122	12796	91240
123	12892	91081
124	12995	90965
125	13118	90997
126	13226	90916
127	13324	90772
128	13436	90719
129	13540	90616
130	13638	90472
131	13744	90383
132	13842	90233
133	13943	90109
134	14038	89952
135	14141	89838
136	14232	89656
137	14345	89610
138	14443	89466
139	14544	89343
140	14667	89355
141	14760	89184
142	14846	88975
143	14942	88825
144	15025	88600
145	15104	88348
146	15178	88078
147	15279	87962
148	15465	88331
149	15625	88543
150	15755	88588
151	15872	88552
152	15977	88450
153	16089	88388
154	16192	88277
155	16297	88173
156	16409	88107
157	16528	88082
158	16678	88219
159	16780	88096
160	16878	87955
161	16981	87840
162	17077	87694
163	17183	87592
164	17292	87512
165	17395	87396
166	17494	87261
167	17585	87091
168	17679	86932
169	17774	86781
170	17885	86707
171	17989	86599
172	18089	86472
173	18189	86349
174	18291	86230
175	18399	86145
176	18494	85993
177	18588	85840
178	18681	85684
179	18773	85524
180	18875	85408
181	18977	85294
182	19090	85227
183	19187	85093
184	19276	84919
185	19370	84774
186	19471	84652
187	19562	84494
188	19653	84335
189	19746	84180
190	19837	84024
191	19942	83924
192	20056	83861
193	20172	83807
194	20264	83656
195	20366	83545
196	20465	83419
197	20558	83272
198	20656	83145
199	20762	83051
200	20869	82958
201	20964	82819
202	21053	82657
203	21150	82527
204	21260	82447
205	21356	82315
206	21455	82192
207	21546	82042
208	21641	81906
209	21729	81746
210	21824	81607
211	21914	81456
212	22008	81316
213	22101	81176
214	22203	81068
215	22299	80937
216	22401	80829
217	22501	80716
218	22591	80566
219	22683	80422
220	22778	80291
221	22868	80141
222	22972	80044
223	23070	79921
224	23160	79775
225	23251	79631
226	23342	79487
227	23437	79360
228	23535	79238
229	23626	79095
230	23725	78982
231	23816	78840
232	23912	78717
233	24007	78588
234	24104	78468
235	24206	78363
236	24302	78241
237	24406	78142
238	24514	78057
239	24620	77964
240	24728	77878
241	24831	77779
242	24928	77658
243	25040	77585
244	25136	77460
245	25227	77322
246	25328	77217
247	25429	77109
248	25528	76994
249	25623	76869
250	25727	76773
251	25829	76667
252	25935	76575
253	26026	76438
254	26128	76337
255	26230	76231
256	26322	76098
257	26417	75975
258	26517	75867
259	26616	75755
260	26717	75649
261	26808	75514
262	26904	75395
263	27010	75302
264	27114	75203
265	27209	75082
266	27323	75012
267	27416	74884
268	27517	74777
269	27606	74639
270	27702	74520
271	27810	74433
272	27903	74308
273	27996	74181
274	28097	74074
275	28200	73976
276	28314	73903
277	28439	73861
278	28528	73723
279	28617	73586
280	28720	73488
281	28818	73375
282	28929	73294
283	29023	73172
284	29119	73054
285	29213	72930
286	29315	72829
287	29415	72720
288	29521	72629
289	29619	72516
290	29719	72410
291	29821	72307
292	29919	72195
293	30015	72078
294	30107	71951
295	30199	71825
296	30281	71676
297	30369	71542
298	30473	71444
299	30653	71525
300	30789	71500
301	30895	71407
302	31002	71314
303	31112	71231
304	31230	71165
305	31329	71055
306	31427	70943
307	31523	70824
308	31633	70740
309	31736	70639
310	31839	70538
311	31941	70435
312	32037	70318
313	32129	70194
314	32220	70066
315	32313	69944
316	32409	69828
317	32506	69714
318	32595	69585
319	32692	69472
320	32800	69381
321	32907	69289
322	33002	69173
323	33095	69051
324	33210	68976
325	33308	68865
326	33392	68724
