iter	Passed	Remaining
0	7	7294
1	16	8261
2	26	8764
3	36	9009
4	47	9447
5	59	9809
6	70	9974
7	80	10036
8	93	10249
9	103	10247
10	114	10312
11	126	10375
12	137	10414
13	148	10472
14	160	10522
15	172	10635
16	183	10595
17	192	10520
18	203	10517
19	213	10478
20	223	10429
21	233	10374
22	242	10292
23	251	10247
24	261	10194
25	271	10168
26	280	10121
27	289	10064
28	298	10002
29	309	9995
30	318	9952
31	326	9885
32	335	9841
33	344	9790
34	353	9739
35	362	9699
36	370	9653
37	379	9618
38	389	9607
39	397	9551
40	406	9519
41	415	9471
42	423	9426
43	431	9380
44	440	9348
45	449	9314
46	458	9294
47	468	9295
48	476	9256
49	485	9221
50	493	9188
51	502	9160
52	512	9154
53	520	9120
54	529	9089
55	537	9058
56	546	9033
57	554	9002
58	563	8982
59	572	8964
60	581	8947
61	589	8920
62	598	8896
63	606	8874
64	615	8848
65	624	8836
66	633	8818
67	641	8792
68	649	8768
69	658	8753
70	667	8732
71	675	8707
72	683	8682
73	691	8658
74	700	8642
75	710	8632
76	720	8635
77	731	8641
78	741	8643
79	751	8640
80	762	8653
81	775	8677
82	787	8703
83	802	8751
84	815	8778
85	829	8820
86	841	8834
87	855	8867
88	867	8882
89	879	8890
90	890	8898
91	901	8901
92	912	8903
93	923	8898
94	933	8892
95	944	8891
96	953	8877
97	963	8870
98	973	8864
99	984	8860
100	994	8852
101	1004	8841
102	1013	8826
103	1023	8821
104	1035	8822
105	1045	8817
106	1057	8825
107	1067	8820
108	1079	8825
109	1089	8818
110	1100	8816
111	1112	8821
112	1123	8815
113	1132	8803
114	1142	8791
115	1152	8785
116	1161	8767
117	1170	8747
118	1178	8727
119	1187	8706
120	1195	8688
121	1204	8670
122	1214	8657
123	1225	8655
124	1236	8656
125	1248	8659
126	1260	8664
127	1271	8659
128	1284	8675
129	1301	8706
130	1314	8722
131	1327	8727
132	1339	8729
133	1352	8738
134	1367	8759
135	1381	8778
136	1392	8768
137	1403	8765
138	1415	8766
139	1427	8769
140	1439	8770
141	1450	8761
142	1459	8743
143	1467	8723
144	1476	8704
145	1485	8686
146	1494	8672
147	1502	8652
148	1511	8635
149	1520	8615
150	1528	8594
151	1537	8577
152	1546	8559
153	1554	8540
154	1562	8520
155	1571	8501
156	1579	8482
157	1588	8464
158	1596	8446
159	1605	8428
160	1613	8410
161	1622	8390
162	1631	8375
163	1640	8364
164	1650	8351
165	1658	8333
166	1667	8315
167	1675	8295
168	1683	8277
169	1692	8265
170	1701	8247
171	1709	8229
172	1717	8212
173	1726	8196
174	1734	8178
175	1744	8165
176	1752	8150
177	1762	8138
178	1771	8123
179	1779	8107
180	1788	8091
181	1796	8074
182	1805	8058
183	1813	8041
184	1821	8024
185	1830	8008
186	1838	7991
187	1847	7977
188	1855	7963
189	1865	7952
190	1875	7944
191	1884	7930
192	1893	7916
193	1905	7914
194	1914	7901
195	1925	7896
196	1935	7889
197	1945	7881
198	1955	7871
199	1963	7854
200	1971	7838
201	1981	7826
202	1989	7809
203	1997	7793
204	2005	7777
205	2015	7766
206	2026	7764
207	2049	7801
208	2059	7795
209	2068	7781
210	2077	7769
211	2087	7758
212	2098	7754
213	2110	7752
214	2124	7755
215	2136	7753
216	2149	7755
217	2161	7755
218	2174	7753
219	2184	7745
220	2195	7740
221	2206	7733
222	2217	7727
223	2230	7727
224	2242	7725
225	2253	7717
226	2262	7704
227	2275	7706
228	2286	7697
229	2297	7690
230	2308	7684
231	2320	7680
232	2331	7676
233	2343	7670
234	2354	7664
235	2366	7660
236	2377	7654
237	2388	7646
238	2397	7635
239	2407	7623
240	2416	7610
241	2426	7599
242	2437	7594
243	2447	7584
244	2457	7572
245	2467	7561
246	2475	7546
247	2484	7532
248	2492	7518
249	2501	7504
250	2509	7489
251	2518	7474
252	2526	7459
253	2534	7444
254	2543	7431
255	2551	7415
256	2561	7404
257	2571	7394
258	2580	7382
259	2590	7372
260	2600	7362
261	2611	7357
262	2622	7348
263	2632	7340
264	2643	7330
265	2653	7322
266	2662	7308
267	2671	7298
268	2681	7285
269	2689	7270
270	2697	7256
271	2707	7245
272	2716	7235
273	2726	7224
274	2735	7212
275	2744	7200
276	2755	7192
