iter	Logloss
0	0.6759150672
1	0.6611185245
2	0.6467912646
3	0.6352825956
4	0.6251318308
5	0.6158319282
6	0.6071443482
7	0.5988316807
8	0.5913961848
9	0.5842661344
10	0.578083439
11	0.5734807909
12	0.5686274758
13	0.5641820658
14	0.5601509068
15	0.5564910921
16	0.5533696832
17	0.5502426493
18	0.5465900181
19	0.5440812774
20	0.5413527211
21	0.5391775519
22	0.5370552565
23	0.5352695492
24	0.5336781303
25	0.5313867477
26	0.5297631352
27	0.528203232
28	0.5264286564
29	0.5249185403
30	0.5235205135
31	0.5218546041
32	0.5203029592
33	0.5190797084
34	0.5181310322
35	0.5169301219
36	0.5160081266
37	0.5152399771
38	0.5145765394
39	0.5138789468
40	0.5127647028
41	0.5118855506
42	0.5112610766
43	0.5103054788
44	0.5092573224
45	0.5084194195
46	0.5076122862
47	0.5068831391
48	0.5065904479
49	0.5060506537
50	0.5052197312
51	0.5045622321
52	0.5038977748
53	0.5033356002
54	0.5027101061
55	0.5023510052
56	0.5016634096
57	0.5010897214
58	0.5004836531
59	0.4996458631
60	0.4991175511
61	0.4986934675
62	0.4981784327
63	0.4975281664
64	0.4971138313
65	0.4965607562
66	0.4960467133
67	0.4954254148
68	0.4949240576
69	0.4942478841
70	0.4936378633
71	0.4931350844
72	0.492653656
73	0.4922117953
74	0.4912606221
75	0.4908162221
76	0.4905091412
77	0.4901476963
78	0.4897652218
79	0.4893710586
80	0.4889526135
81	0.4885787605
82	0.4882057444
83	0.4878186832
84	0.4872928836
85	0.4867591395
86	0.4864490778
87	0.4861231127
88	0.4856380613
89	0.4852246283
90	0.4846883303
91	0.4843141123
92	0.4837053253
93	0.4833590455
94	0.4828858486
95	0.4824438819
96	0.4820485032
97	0.4816858846
98	0.4812248674
99	0.4809171634
100	0.4805832787
101	0.4801282768
102	0.4794840524
103	0.4789477072
104	0.4784849457
105	0.4780477692
106	0.4776713645
107	0.4772573532
108	0.4769131732
109	0.4763537169
110	0.4758899641
111	0.4755318433
112	0.4751453548
113	0.4748492114
114	0.4741920213
115	0.4737860143
116	0.473461195
117	0.47300934
118	0.4725828042
119	0.4722792319
120	0.4719170976
121	0.4716230952
122	0.4712571505
123	0.4709857629
124	0.470391428
125	0.4699796894
126	0.4695575857
127	0.4691486824
128	0.4685493056
129	0.4680919195
130	0.467739051
131	0.4673814904
132	0.4671937141
133	0.4667938379
134	0.4664365077
135	0.4661730784
136	0.4657209471
137	0.4651882104
138	0.464918077
139	0.4645856281
140	0.4640829795
141	0.4637743174
142	0.4632110259
143	0.4629284886
144	0.462492118
145	0.4620089025
146	0.4616882442
147	0.4613945232
148	0.4610012971
149	0.4605978135
150	0.4599433452
151	0.4596070762
152	0.4592756448
153	0.4590381248
154	0.4588008027
155	0.458382726
156	0.4581742486
157	0.4577969688
158	0.4572722587
159	0.4566923182
160	0.4562794223
161	0.4559894235
162	0.4556261094
163	0.4552462002
164	0.4547986019
165	0.4544473389
166	0.4540691084
167	0.453872922
168	0.4532059215
169	0.4529036931
170	0.4524950537
171	0.4520407887
172	0.4516455157
