iter	Passed	Remaining
0	12	12891
1	25	12807
2	39	13094
3	53	13328
4	67	13380
5	82	13618
6	96	13668
7	111	13852
8	126	13895
9	141	13995
10	159	14329
11	178	14734
12	195	14868
13	213	15069
14	232	15286
15	251	15478
16	271	15706
17	288	15753
18	306	15814
19	323	15836
20	340	15863
21	356	15855
22	372	15814
23	388	15816
24	406	15863
25	424	15905
26	441	15893
27	460	15978
28	477	15996
29	495	16029
30	513	16050
31	531	16069
32	548	16080
33	565	16056
34	581	16029
35	599	16050
36	614	16004
37	631	15981
38	647	15960
39	666	15999
40	684	16000
41	701	15994
42	719	16017
43	737	16033
44	754	16016
45	771	15992
46	788	15978
47	808	16028
48	827	16058
49	846	16082
50	864	16094
51	881	16078
52	900	16088
53	918	16099
54	933	16041
55	951	16032
56	967	16005
57	981	15939
58	995	15879
59	1011	15840
60	1028	15826
61	1041	15762
62	1055	15700
63	1069	15647
64	1086	15628
65	1103	15614
66	1120	15597
67	1135	15565
68	1149	15507
69	1164	15473
70	1181	15455
71	1196	15421
72	1210	15374
73	1224	15325
74	1238	15277
75	1253	15239
76	1267	15189
77	1281	15147
78	1296	15113
79	1310	15066
80	1323	15020
81	1337	14977
82	1351	14936
83	1366	14897
84	1380	14861
85	1395	14827
86	1409	14786
87	1422	14743
88	1436	14703
89	1450	14663
90	1464	14626
91	1478	14592
92	1495	14585
93	1510	14559
94	1530	14581
95	1546	14561
96	1565	14575
97	1581	14555
98	1600	14562
99	1617	14555
100	1634	14551
101	1652	14547
102	1667	14521
103	1684	14511
104	1699	14486
105	1716	14473
106	1732	14462
107	1747	14434
108	1764	14420
109	1780	14403
110	1795	14378
111	1811	14361
112	1828	14350
113	1843	14330
114	1858	14301
115	1875	14289
116	1889	14260
117	1904	14237
118	1918	14205
119	1935	14192
120	1951	14177
121	1967	14158
122	1982	14132
123	1999	14124
124	2014	14101
125	2030	14081
126	2046	14066
127	2061	14044
128	2077	14026
129	2093	14010
130	2111	14009
131	2127	13989
