iter	Passed	Remaining
0	22	22732
1	46	23192
2	78	25967
3	109	27206
4	138	27605
5	166	27576
6	193	27511
7	221	27525
8	249	27438
9	278	27528
10	306	27551
11	333	27431
12	361	27417
13	389	27428
14	417	27395
15	446	27447
16	473	27406
17	500	27326
18	528	27269
19	555	27217
20	583	27188
21	613	27257
22	642	27273
23	671	27326
24	700	27322
25	728	27305
26	757	27284
27	782	27180
28	811	27156
29	838	27123
30	866	27092
31	893	27035
32	920	26963
33	946	26896
34	976	26915
35	1005	26917
36	1034	26919
37	1063	26918
38	1091	26901
39	1121	26905
40	1147	26848
41	1175	26803
42	1205	26831
43	1241	26977
44	1273	27032
45	1304	27059
46	1333	27034
47	1362	27013
48	1389	26968
49	1417	26926
50	1446	26912
51	1474	26887
52	1504	26889
53	1535	26899
54	1565	26906
55	1596	26904
56	1622	26847
57	1650	26804
58	1676	26745
59	1706	26739
60	1738	26753
61	1770	26786
62	1799	26770
63	1829	26759
64	1858	26732
65	1884	26671
66	1912	26628
67	1939	26588
68	1971	26607
69	2003	26618
70	2034	26616
71	2064	26612
72	2094	26601
73	2122	26553
74	2148	26502
75	2179	26493
76	2208	26469
77	2235	26419
78	2267	26431
79	2296	26414
80	2328	26422
81	2357	26396
82	2386	26368
83	2418	26370
84	2445	26323
85	2472	26273
86	2498	26222
87	2526	26184
88	2553	26136
89	2580	26089
90	2606	26037
91	2632	25984
92	2660	25949
93	2692	25955
94	2720	25920
95	2748	25884
96	2779	25871
97	2807	25840
98	2839	25840
99	2869	25822
100	2898	25795
101	2924	25746
102	2950	25698
103	2976	25643
104	3003	25598
105	3030	25556
106	3056	25508
107	3083	25463
108	3109	25414
109	3139	25399
110	3168	25375
111	3195	25337
112	3225	25318
113	3251	25272
114	3279	25239
115	3307	25202
116	3334	25163
117	3361	25122
118	3387	25075
119	3415	25047
120	3443	25014
121	3471	24984
122	3500	24959
123	3525	24904
124	3552	24865
125	3578	24823
126	3605	24782
127	3633	24750
128	3662	24727
129	3690	24699
130	3719	24671
131	3754	24689
132	3783	24662
133	3808	24610
134	3835	24575
135	3862	24537
136	3887	24491
137	3919	24481
138	3949	24462
139	3978	24441
140	4004	24396
141	4030	24350
142	4054	24301
143	4082	24268
144	4111	24246
145	4139	24215
146	4168	24187
147	4196	24160
148	4226	24141
149	4256	24119
150	4284	24091
151	4314	24067
152	4341	24036
153	4369	24002
154	4396	23970
155	4423	23934
156	4450	23894
157	4475	23852
158	4503	23817
159	4530	23784
160	4560	23766
161	4589	23738
162	4615	23699
163	4642	23664
164	4668	23623
165	4693	23581
166	4722	23553
167	4748	23514
168	4774	23475
